held_out_case,d_state,n_layers,expand,selective,discretization,horizon_k,target,config_name,model_hash
3,32,4,2,False,zoh,2,absolute,2b327ec64d6a.yaml,25a9449f2444
4,32,4,2,False,zoh,2,absolute,2b327ec64d6a.yaml,0688df56e67b
1,32,4,2,False,zoh,5,residual,663915207fa6.yaml,79c64823606c
2,32,4,2,False,zoh,5,residual,663915207fa6.yaml,d3b64de61246
3,32,4,2,False,zoh,5,residual,663915207fa6.yaml,d1be92136880
4,32,4,2,False,zoh,5,residual,663915207fa6.yaml,cbe2b8386622
1,32,4,2,False,zoh,5,absolute,1c01117f22bd.yaml,2a8b7cc77346
2,32,4,2,False,zoh,5,absolute,1c01117f22bd.yaml,2807efbd3441
3,32,4,2,False,zoh,5,absolute,1c01117f22bd.yaml,3e03144b2a4f
4,32,4,2,False,zoh,5,absolute,1c01117f22bd.yaml,8923c7d48ebc
1,32,4,2,False,euler,2,residual,ae0a0e4e978e.yaml,86d08e302712
2,32,4,2,False,euler,2,residual,ae0a0e4e978e.yaml,a262510afd43
3,32,4,2,False,euler,2,residual,ae0a0e4e978e.yaml,ab053301ec58
4,32,4,2,False,euler,2,residual,ae0a0e4e978e.yaml,cebd32dd53e2
1,32,4,2,False,euler,2,absolute,5e08243a9dd7.yaml,ee68e417fdc6
2,32,4,2,False,euler,2,absolute,5e08243a9dd7.yaml,2889c1bf9b4c
3,32,4,2,False,euler,2,absolute,5e08243a9dd7.yaml,485083ee37d5
4,32,4,2,False,euler,2,absolute,5e08243a9dd7.yaml,39d78d2d8171
1,32,4,2,False,euler,5,residual,49aefa36c9c5.yaml,55128a44edac
2,32,4,2,False,euler,5,residual,49aefa36c9c5.yaml,3904c3e45d00
3,32,4,2,False,euler,5,residual,49aefa36c9c5.yaml,2c252a8b9479
4,32,4,2,False,euler,5,residual,49aefa36c9c5.yaml,1817108410ad
1,32,4,2,False,euler,5,absolute,51fd99e41805.yaml,59c51d4bfb73
2,32,4,2,False,euler,5,absolute,51fd99e41805.yaml,3bc7b7aba008
3,32,4,2,False,euler,5,absolute,51fd99e41805.yaml,1eeb4cdaa482
4,32,4,2,False,euler,5,absolute,51fd99e41805.yaml,9ac8d237b2ec
1,32,4,1,True,zoh,2,residual,2878ff75bc8a.yaml,a4d5a89d0551
2,32,4,1,True,zoh,2,residual,2878ff75bc8a.yaml,2fd4907e5d27
3,32,4,1,True,zoh,2,residual,2878ff75bc8a.yaml,2c67038e70a5
4,32,4,1,True,zoh,2,residual,2878ff75bc8a.yaml,8d35eb57fe70
1,32,4,1,True,zoh,2,absolute,89d8e7023828.yaml,463cce586426
2,32,4,1,True,zoh,2,absolute,89d8e7023828.yaml,95fb1f516ba4
3,32,4,1,True,zoh,2,absolute,89d8e7023828.yaml,f8cb6df692f4
4,32,4,1,True,zoh,2,absolute,89d8e7023828.yaml,ed080d98b961
1,32,4,1,True,zoh,5,residual,33f9fbed9c39.yaml,d21ebf2502b5
2,32,4,1,True,zoh,5,residual,33f9fbed9c39.yaml,e8550a0e75ff
3,32,4,1,True,zoh,5,residual,33f9fbed9c39.yaml,8f8668654bdb
4,32,4,1,True,zoh,5,residual,33f9fbed9c39.yaml,55f5981fb9fe
1,32,4,1,True,zoh,5,absolute,5064e3ef91cb.yaml,3ba0c12ca5ea
2,32,4,1,True,zoh,5,absolute,5064e3ef91cb.yaml,76a93d980f79
3,32,4,1,True,zoh,5,absolute,5064e3ef91cb.yaml,2bc792b1d73e
4,32,4,1,True,zoh,5,absolute,5064e3ef91cb.yaml,4db78cc4c8a7
1,32,4,1,True,euler,2,residual,7228c951881d.yaml,b11515cd479d
2,32,4,1,True,euler,2,residual,7228c951881d.yaml,3d7ace31e05e
3,32,4,1,True,euler,2,residual,7228c951881d.yaml,83181d49e15e
4,32,4,1,True,euler,2,residual,7228c951881d.yaml,c0c6f8cf7236
1,32,4,1,True,euler,2,absolute,38cb3e7a43f3.yaml,0bbc27ba8c59
2,32,4,1,True,euler,2,absolute,38cb3e7a43f3.yaml,1c95da214d0a
3,32,4,1,True,euler,2,absolute,38cb3e7a43f3.yaml,8e92cf22296c
4,32,4,1,True,euler,2,absolute,38cb3e7a43f3.yaml,a9e461a6b87d
1,32,4,1,True,euler,5,residual,40cc7300d09f.yaml,31a164109418
2,32,4,1,True,euler,5,residual,40cc7300d09f.yaml,c573bad55df3
3,32,4,1,True,euler,5,residual,40cc7300d09f.yaml,6c36a7e5109c
4,32,4,1,True,euler,5,residual,40cc7300d09f.yaml,f9bc3c5a6f69
1,32,4,1,True,euler,5,absolute,0b1fc3008e1c.yaml,618f76decd5f
2,32,4,1,True,euler,5,absolute,0b1fc3008e1c.yaml,f05a81453cdb
3,32,4,1,True,euler,5,absolute,0b1fc3008e1c.yaml,90ed4a94a8da
4,32,4,1,True,euler,5,absolute,0b1fc3008e1c.yaml,761db7bcfcfe
1,32,4,1,False,zoh,2,residual,20e71b039d4e.yaml,5de494fe6199
2,32,4,1,False,zoh,2,residual,20e71b039d4e.yaml,708e2cc175ee
3,32,4,1,False,zoh,2,residual,20e71b039d4e.yaml,44f6404eb5fe
4,32,4,1,False,zoh,2,residual,20e71b039d4e.yaml,7db111249c21
1,32,4,1,False,zoh,2,absolute,c5cf75b93669.yaml,5c42d181d443
2,32,4,1,False,zoh,2,absolute,c5cf75b93669.yaml,f40064be28c7
3,32,4,1,False,zoh,2,absolute,c5cf75b93669.yaml,920248487c04
4,32,4,1,False,zoh,2,absolute,c5cf75b93669.yaml,98cc1bdd5ff3
1,32,4,1,False,zoh,5,residual,0fd75d0b32d3.yaml,138eb8194a2b
2,32,4,1,False,zoh,5,residual,0fd75d0b32d3.yaml,dbb19e121ef8
3,32,4,1,False,zoh,5,residual,0fd75d0b32d3.yaml,c098eaa781f9
4,32,4,1,False,zoh,5,residual,0fd75d0b32d3.yaml,ebfd98835d17
1,32,4,1,False,zoh,5,absolute,b958d05aa944.yaml,962e0f4dbb4f
2,32,4,1,False,zoh,5,absolute,b958d05aa944.yaml,85280a1ac333
3,32,4,1,False,zoh,5,absolute,b958d05aa944.yaml,a189be4acfa6
4,32,4,1,False,zoh,5,absolute,b958d05aa944.yaml,2da794dcdd83
1,32,4,1,False,euler,2,residual,1a19ef1f988b.yaml,02b97863586d
2,32,4,1,False,euler,2,residual,1a19ef1f988b.yaml,6bee74626956
3,32,4,1,False,euler,2,residual,1a19ef1f988b.yaml,022f7f0e74f3
4,32,4,1,False,euler,2,residual,1a19ef1f988b.yaml,99f5a6072274
1,32,4,1,False,euler,2,absolute,02793f667b74.yaml,608372defe16
2,32,4,1,False,euler,2,absolute,02793f667b74.yaml,a69bf5f24af5
3,32,4,1,False,euler,2,absolute,02793f667b74.yaml,009910dabe60
4,32,4,1,False,euler,2,absolute,02793f667b74.yaml,5436926577fa
1,32,4,1,False,euler,5,residual,596ed2fa4065.yaml,8fad8adbdca2
2,32,4,1,False,euler,5,residual,596ed2fa4065.yaml,059ce452c9db
3,32,4,1,False,euler,5,residual,596ed2fa4065.yaml,fb13af15559b
4,32,4,1,False,euler,5,residual,596ed2fa4065.yaml,8ec9ca7b64c4
1,32,4,1,False,euler,5,absolute,44a43f07797f.yaml,8d04731d89e8
2,32,4,1,False,euler,5,absolute,44a43f07797f.yaml,15fe610c2af2
3,32,4,1,False,euler,5,absolute,44a43f07797f.yaml,138b21e39560
4,32,4,1,False,euler,5,absolute,44a43f07797f.yaml,d991a7a268e6
1,32,2,2,True,zoh,2,residual,9fd5d4780b48.yaml,0b854e87d2d6
2,32,2,2,True,zoh,2,residual,9fd5d4780b48.yaml,8c29fad23c02
3,32,2,2,True,zoh,2,residual,9fd5d4780b48.yaml,e3294eed856e
4,32,2,2,True,zoh,2,residual,9fd5d4780b48.yaml,caae599be17b
1,32,2,2,True,zoh,2,absolute,c944a935f9aa.yaml,001d502a9f07
2,32,2,2,True,zoh,2,absolute,c944a935f9aa.yaml,a1fc65e6e6ba
3,32,2,2,True,zoh,2,absolute,c944a935f9aa.yaml,60d7d0e78126
4,32,2,2,True,zoh,2,absolute,c944a935f9aa.yaml,3b7b11270525
1,32,2,2,True,zoh,5,residual,8953a7d898a5.yaml,b38e4c775bdc
2,32,2,2,True,zoh,5,residual,8953a7d898a5.yaml,499d7bc58f25
3,32,2,2,True,zoh,5,residual,8953a7d898a5.yaml,457ee6add779
4,32,2,2,True,zoh,5,residual,8953a7d898a5.yaml,3fa9874aae01
1,32,2,2,True,zoh,5,absolute,13f709e50b87.yaml,a59b95a18e99
2,32,2,2,True,zoh,5,absolute,13f709e50b87.yaml,b4832da19d92
3,32,2,2,True,zoh,5,absolute,13f709e50b87.yaml,8a749c3d2fe6
4,32,2,2,True,zoh,5,absolute,13f709e50b87.yaml,ae9c57bb5457
1,32,2,2,True,euler,2,residual,78ca5922c9bf.yaml,95409e0e766e
2,32,2,2,True,euler,2,residual,78ca5922c9bf.yaml,dea567233182
3,32,2,2,True,euler,2,residual,78ca5922c9bf.yaml,2caa927260d6
4,32,2,2,True,euler,2,residual,78ca5922c9bf.yaml,33520ffafcd7
1,32,2,2,True,euler,2,absolute,8065dd988ed6.yaml,0f7908666013
2,32,2,2,True,euler,2,absolute,8065dd988ed6.yaml,bf808c11bfbb
3,32,2,2,True,euler,2,absolute,8065dd988ed6.yaml,5dda1a519422
4,32,2,2,True,euler,2,absolute,8065dd988ed6.yaml,c5e4b87671ab
1,32,2,2,True,euler,5,residual,487ee5a9af7d.yaml,b3976770aa9c
2,32,2,2,True,euler,5,residual,487ee5a9af7d.yaml,f7496bb54b62
3,32,2,2,True,euler,5,residual,487ee5a9af7d.yaml,57205d99c5e3
4,32,2,2,True,euler,5,residual,487ee5a9af7d.yaml,dcaa16e24eb5
1,32,2,2,True,euler,5,absolute,299695cd0bb0.yaml,3e2f04642168
2,32,2,2,True,euler,5,absolute,299695cd0bb0.yaml,18e81d217efa
3,32,2,2,True,euler,5,absolute,299695cd0bb0.yaml,8aaf8a7115b9
4,32,2,2,True,euler,5,absolute,299695cd0bb0.yaml,fd6a6a458f34
1,32,2,2,False,zoh,2,residual,785844bd75bc.yaml,33cc13dd48fe
2,32,2,2,False,zoh,2,residual,785844bd75bc.yaml,91f97b75b829
3,32,2,2,False,zoh,2,residual,785844bd75bc.yaml,1b2cf60731e8
4,32,2,2,False,zoh,2,residual,785844bd75bc.yaml,b72d06f69a8c
1,32,2,2,False,zoh,2,absolute,7b4898ffd0d1.yaml,43d20a158db4
2,32,2,2,False,zoh,2,absolute,7b4898ffd0d1.yaml,bab1081007ca
3,32,2,2,False,zoh,2,absolute,7b4898ffd0d1.yaml,f625af66798c
4,32,2,2,False,zoh,2,absolute,7b4898ffd0d1.yaml,e648a324c826
1,32,2,2,False,zoh,5,residual,173e09a4d335.yaml,1e22be576ccc
2,32,2,2,False,zoh,5,residual,173e09a4d335.yaml,476fc6626d1d
3,32,2,2,False,zoh,5,residual,173e09a4d335.yaml,9055fca5be11
4,32,2,2,False,zoh,5,residual,173e09a4d335.yaml,e6f9a56d5bdd
1,32,2,2,False,zoh,5,absolute,e8ff01500bd8.yaml,5b41de21fae9
2,32,2,2,False,zoh,5,absolute,e8ff01500bd8.yaml,05a7693a0c2e
3,32,2,2,False,zoh,5,absolute,e8ff01500bd8.yaml,cda70e3dac68
4,32,2,2,False,zoh,5,absolute,e8ff01500bd8.yaml,064b3f5ac086
1,32,2,2,False,euler,2,residual,1bb643a40705.yaml,7d3528f7bcb4
2,32,2,2,False,euler,2,residual,1bb643a40705.yaml,982a6725f1f8
3,32,2,2,False,euler,2,residual,1bb643a40705.yaml,03be4592999c
4,32,2,2,False,euler,2,residual,1bb643a40705.yaml,5d00d6600ea2
1,32,2,2,False,euler,2,absolute,c910d482b8ff.yaml,24c6f573f3cc
2,32,2,2,False,euler,2,absolute,c910d482b8ff.yaml,617a73c6d239
3,32,2,2,False,euler,2,absolute,c910d482b8ff.yaml,5369a65b7eae
4,32,2,2,False,euler,2,absolute,c910d482b8ff.yaml,eac27f8cf7d5
1,32,2,2,False,euler,5,residual,73397041ace8.yaml,00447e0f7b53
2,32,2,2,False,euler,5,residual,73397041ace8.yaml,5debbcdce8dc
3,32,2,2,False,euler,5,residual,73397041ace8.yaml,6146ec94071e
4,32,2,2,False,euler,5,residual,73397041ace8.yaml,ca02d13a26a6
1,32,2,2,False,euler,5,absolute,eb397602f97b.yaml,aefd54dd4b72
2,32,2,2,False,euler,5,absolute,eb397602f97b.yaml,9c7e741c7456
3,32,2,2,False,euler,5,absolute,eb397602f97b.yaml,ee10ca4a1add
4,32,2,2,False,euler,5,absolute,eb397602f97b.yaml,5b3eb7cd8bf6
1,32,2,1,True,zoh,2,residual,19b7bdbfdb1b.yaml,9b2f070215b3
2,32,2,1,True,zoh,2,residual,19b7bdbfdb1b.yaml,a3fac6e0990b
3,32,2,1,True,zoh,2,residual,19b7bdbfdb1b.yaml,3a8a92c2f40b
4,32,2,1,True,zoh,2,residual,19b7bdbfdb1b.yaml,0f697fdb8c51
1,32,2,1,True,zoh,2,absolute,a05a88b1b6d7.yaml,eb37bdc23660
2,32,2,1,True,zoh,2,absolute,a05a88b1b6d7.yaml,7813dc1a924e
3,32,2,1,True,zoh,2,absolute,a05a88b1b6d7.yaml,8b65df363ecf
4,32,2,1,True,zoh,2,absolute,a05a88b1b6d7.yaml,f95ace9f3827
1,32,2,1,True,zoh,5,residual,1ae78bf62b67.yaml,4984d670eb3d
2,32,2,1,True,zoh,5,residual,1ae78bf62b67.yaml,c612f9fa711b
3,32,2,1,True,zoh,5,residual,1ae78bf62b67.yaml,ef31f4ec96fe
4,32,2,1,True,zoh,5,residual,1ae78bf62b67.yaml,eb9ce2e41129
1,32,2,1,True,zoh,5,absolute,7b26826f4a92.yaml,ad153d56f001
2,32,2,1,True,zoh,5,absolute,7b26826f4a92.yaml,9090e39782d8
3,32,2,1,True,zoh,5,absolute,7b26826f4a92.yaml,8d4282977935
4,32,2,1,True,zoh,5,absolute,7b26826f4a92.yaml,20fbf88325c0
1,32,2,1,True,euler,2,residual,615b3e5e8dc9.yaml,3944b0a8c4ce
2,32,2,1,True,euler,2,residual,615b3e5e8dc9.yaml,f3ff5d008f76
3,32,2,1,True,euler,2,residual,615b3e5e8dc9.yaml,c3d4b785099b
4,32,2,1,True,euler,2,residual,615b3e5e8dc9.yaml,25142516a9de
1,32,2,1,True,euler,2,absolute,ff2dd7323447.yaml,d50b3ae0daa3
2,32,2,1,True,euler,2,absolute,ff2dd7323447.yaml,1c060ec1885d
3,32,2,1,True,euler,2,absolute,ff2dd7323447.yaml,d142fb676542
4,32,2,1,True,euler,2,absolute,ff2dd7323447.yaml,d9a0682a7069
1,32,2,1,True,euler,5,residual,6bc04f106356.yaml,cf538852cf88
2,32,2,1,True,euler,5,residual,6bc04f106356.yaml,19f00a83dbd3
3,32,2,1,True,euler,5,residual,6bc04f106356.yaml,44968e5ec2eb
4,32,2,1,True,euler,5,residual,6bc04f106356.yaml,22de3ef69930
1,32,2,1,True,euler,5,absolute,72561e62fc14.yaml,4fd8fcbce8c0
2,32,2,1,True,euler,5,absolute,72561e62fc14.yaml,a37fe916eb9c
3,32,2,1,True,euler,5,absolute,72561e62fc14.yaml,44f65b520f07
4,32,2,1,True,euler,5,absolute,72561e62fc14.yaml,b4a034243cc4
1,32,2,1,False,zoh,2,residual,88c8a2386977.yaml,1d0f615af9a7
2,32,2,1,False,zoh,2,residual,88c8a2386977.yaml,df10d6b7b702
3,32,2,1,False,zoh,2,residual,88c8a2386977.yaml,2525f62cdc85
4,32,2,1,False,zoh,2,residual,88c8a2386977.yaml,3e3b8f3c1ef2
1,32,2,1,False,zoh,2,absolute,6930703801a0.yaml,0206bb52e98b
2,32,2,1,False,zoh,2,absolute,6930703801a0.yaml,03d0533ff8bb
3,32,2,1,False,zoh,2,absolute,6930703801a0.yaml,b75c5ab941b1
4,32,2,1,False,zoh,2,absolute,6930703801a0.yaml,e0dd0c021890
1,32,2,1,False,zoh,5,residual,c2d9fe2c5625.yaml,64c006739ec5
2,32,2,1,False,zoh,5,residual,c2d9fe2c5625.yaml,0a47ce0c3ceb
3,32,2,1,False,zoh,5,residual,c2d9fe2c5625.yaml,c2d52ba92d2f
4,32,2,1,False,zoh,5,residual,c2d9fe2c5625.yaml,4b7d31c12e6e
1,32,2,1,False,zoh,5,absolute,c2dde2541d0a.yaml,b5cd149a4766
2,32,2,1,False,zoh,5,absolute,c2dde2541d0a.yaml,4fa41168ab9a
3,32,2,1,False,zoh,5,absolute,c2dde2541d0a.yaml,5fd6c5622f0e
4,32,2,1,False,zoh,5,absolute,c2dde2541d0a.yaml,81489cc89e31
1,32,2,1,False,euler,2,residual,dd85abe752ba.yaml,f517b199970d
2,32,2,1,False,euler,2,residual,dd85abe752ba.yaml,4a8417dc2b2b
3,32,2,1,False,euler,2,residual,dd85abe752ba.yaml,862372989a47
4,32,2,1,False,euler,2,residual,dd85abe752ba.yaml,4fbf5e2964d6
1,32,2,1,False,euler,2,absolute,19293f9636f0.yaml,5912431deb85
2,32,2,1,False,euler,2,absolute,19293f9636f0.yaml,cf1842987854
3,32,2,1,False,euler,2,absolute,19293f9636f0.yaml,8cc19dd09a1e
4,32,2,1,False,euler,2,absolute,19293f9636f0.yaml,3c4d2782ee7d
1,32,2,1,False,euler,5,residual,25f7f21b7a76.yaml,7478f00e2d03
2,32,2,1,False,euler,5,residual,25f7f21b7a76.yaml,1c76ef7220e3
3,32,2,1,False,euler,5,residual,25f7f21b7a76.yaml,ac63aa9811c3
4,32,2,1,False,euler,5,residual,25f7f21b7a76.yaml,dfcdb38fedc8
1,32,2,1,False,euler,5,absolute,da83115f09e6.yaml,2162aba9e8f3
2,32,2,1,False,euler,5,absolute,da83115f09e6.yaml,f6c8b21ff584
3,32,2,1,False,euler,5,absolute,da83115f09e6.yaml,d8afcec9b950
4,32,2,1,False,euler,5,absolute,da83115f09e6.yaml,f335c1f9c8c3
1,32,1,2,True,zoh,2,residual,35e13b3d6a57.yaml,8c4aead7227f
2,32,1,2,True,zoh,2,residual,35e13b3d6a57.yaml,d1d75dffc2f2
3,32,1,2,True,zoh,2,residual,35e13b3d6a57.yaml,06cdf702b883
4,32,1,2,True,zoh,2,residual,35e13b3d6a57.yaml,a05dc8704bf6
1,32,1,2,True,zoh,2,absolute,aa3f069aef5e.yaml,32e1850f18fe
2,32,1,2,True,zoh,2,absolute,aa3f069aef5e.yaml,476952943f6a
3,32,1,2,True,zoh,2,absolute,aa3f069aef5e.yaml,b3d1d1988c4a
4,32,1,2,True,zoh,2,absolute,aa3f069aef5e.yaml,bdf03d51c5d1
1,32,1,2,True,zoh,5,residual,9f184328743f.yaml,3a3be139b24a
2,32,1,2,True,zoh,5,residual,9f184328743f.yaml,ed9fe9d5cd0e
3,32,1,2,True,zoh,5,residual,9f184328743f.yaml,21b009bdbabc
4,32,1,2,True,zoh,5,residual,9f184328743f.yaml,68d72252b245
1,32,1,2,True,zoh,5,absolute,434f9e79db51.yaml,fc0d72a39a21
2,32,1,2,True,zoh,5,absolute,434f9e79db51.yaml,80d9417c38b2
3,32,1,2,True,zoh,5,absolute,434f9e79db51.yaml,90934f50dae2
4,32,1,2,True,zoh,5,absolute,434f9e79db51.yaml,30e1b4f0020c
1,32,1,2,True,euler,2,residual,91443246bcf9.yaml,78370c3ccbfb
2,32,1,2,True,euler,2,residual,91443246bcf9.yaml,af2f1419948c
3,32,1,2,True,euler,2,residual,91443246bcf9.yaml,3f6d891ef0d4
4,32,1,2,True,euler,2,residual,91443246bcf9.yaml,1a539ebf38fa
1,32,1,2,True,euler,2,absolute,ed05e8d775be.yaml,2f754a0538a1
2,32,1,2,True,euler,2,absolute,ed05e8d775be.yaml,38ff5a8d97dc
3,32,1,2,True,euler,2,absolute,ed05e8d775be.yaml,56118ea8213c
4,32,1,2,True,euler,2,absolute,ed05e8d775be.yaml,da41e57d791e
1,32,1,2,True,euler,5,residual,5550eec3de49.yaml,11790606a51a
2,32,1,2,True,euler,5,residual,5550eec3de49.yaml,c159f597466b
3,32,1,2,True,euler,5,residual,5550eec3de49.yaml,de5990bb1331
4,32,1,2,True,euler,5,residual,5550eec3de49.yaml,160aab573bb4
1,32,1,2,True,euler,5,absolute,9fc020507ee7.yaml,7510958684c1
2,32,1,2,True,euler,5,absolute,9fc020507ee7.yaml,cfa4877c9484
3,32,1,2,True,euler,5,absolute,9fc020507ee7.yaml,cd3797c62238
4,32,1,2,True,euler,5,absolute,9fc020507ee7.yaml,e3b13b50d02e
1,32,1,2,False,zoh,2,residual,1fd5020aab7f.yaml,4e6f244b9119
2,32,1,2,False,zoh,2,residual,1fd5020aab7f.yaml,078351384b86
3,32,1,2,False,zoh,2,residual,1fd5020aab7f.yaml,0dcb051db5b8
4,32,1,2,False,zoh,2,residual,1fd5020aab7f.yaml,d218d4ee132d
1,32,1,2,False,zoh,2,absolute,cc56c7ce28ca.yaml,5d12d931eca1
2,32,1,2,False,zoh,2,absolute,cc56c7ce28ca.yaml,2500e7730a63
3,32,1,2,False,zoh,2,absolute,cc56c7ce28ca.yaml,9284a478521b
4,32,1,2,False,zoh,2,absolute,cc56c7ce28ca.yaml,6a80266fb36a
1,32,1,2,False,zoh,5,residual,f10fd75e96ec.yaml,120cd0a4fca6
2,32,1,2,False,zoh,5,residual,f10fd75e96ec.yaml,d9e8b7077410
3,32,1,2,False,zoh,5,residual,f10fd75e96ec.yaml,d10a1d287b5d
4,32,1,2,False,zoh,5,residual,f10fd75e96ec.yaml,8f2dacddf271
1,32,1,2,False,zoh,5,absolute,3f93f3f846c0.yaml,22ab5ccb99ea
2,32,1,2,False,zoh,5,absolute,3f93f3f846c0.yaml,1041588cd524
3,32,1,2,False,zoh,5,absolute,3f93f3f846c0.yaml,f60598600ccc
4,32,1,2,False,zoh,5,absolute,3f93f3f846c0.yaml,68e3d44717ff
1,32,1,2,False,euler,2,residual,e383b78a1108.yaml,bf210af21ef5
2,32,1,2,False,euler,2,residual,e383b78a1108.yaml,f6aa0db6c5aa
3,32,1,2,False,euler,2,residual,e383b78a1108.yaml,3b8c81431fc6
4,32,1,2,False,euler,2,residual,e383b78a1108.yaml,174bb47c6d5b
1,32,1,2,False,euler,2,absolute,7af2b7626f96.yaml,3331d9fa302b
2,32,1,2,False,euler,2,absolute,7af2b7626f96.yaml,92a792ad9b6b
3,32,1,2,False,euler,2,absolute,7af2b7626f96.yaml,b071ae8aa000
4,32,1,2,False,euler,2,absolute,7af2b7626f96.yaml,e9fec2785804
1,32,1,2,False,euler,5,residual,8adef87b2f64.yaml,29e7db8e9b4e
2,32,1,2,False,euler,5,residual,8adef87b2f64.yaml,ac4cd30995b8
3,32,1,2,False,euler,5,residual,8adef87b2f64.yaml,5b151435e07e
4,32,1,2,False,euler,5,residual,8adef87b2f64.yaml,a88181551485
1,32,1,2,False,euler,5,absolute,ca3a301896eb.yaml,a1d764ad6705
2,32,1,2,False,euler,5,absolute,ca3a301896eb.yaml,008fa098aa11
3,32,1,2,False,euler,5,absolute,ca3a301896eb.yaml,11663b723f94
4,32,1,2,False,euler,5,absolute,ca3a301896eb.yaml,e82ebb6ca8a6
1,32,1,1,True,zoh,2,residual,f3c8b9679081.yaml,a96b30718cb1
2,32,1,1,True,zoh,2,residual,f3c8b9679081.yaml,de6c19a65903
3,32,1,1,True,zoh,2,residual,f3c8b9679081.yaml,352e3dcab8ea
4,32,1,1,True,zoh,2,residual,f3c8b9679081.yaml,79c8af65e03e
1,32,1,1,True,zoh,2,absolute,0e56af563a91.yaml,ef2ca6293919
2,32,1,1,True,zoh,2,absolute,0e56af563a91.yaml,878ca88b2ff4
3,32,1,1,True,zoh,2,absolute,0e56af563a91.yaml,0941c321f1fb
4,32,1,1,True,zoh,2,absolute,0e56af563a91.yaml,3d4892ed8bd2
1,32,1,1,True,zoh,5,residual,a745512e7532.yaml,ad524053b064
2,32,1,1,True,zoh,5,residual,a745512e7532.yaml,c17c1f08738d
3,32,1,1,True,zoh,5,residual,a745512e7532.yaml,dcf97206749f
4,32,1,1,True,zoh,5,residual,a745512e7532.yaml,a47428bbe8f2
1,32,1,1,True,zoh,5,absolute,ceb0f56a9c4c.yaml,8b62fa966186
2,32,1,1,True,zoh,5,absolute,ceb0f56a9c4c.yaml,af5e0c86ba7c
3,32,1,1,True,zoh,5,absolute,ceb0f56a9c4c.yaml,b90b2f59298b
4,32,1,1,True,zoh,5,absolute,ceb0f56a9c4c.yaml,64901b373201
1,32,1,1,True,euler,2,residual,cd2caed96f33.yaml,a09d692fb204
2,32,1,1,True,euler,2,residual,cd2caed96f33.yaml,9329d08332a4
