"board","case","model","setup","status","build_seconds","text_bytes","data_bytes","bss_bytes","flash_bytes","ram_bytes","map_file","note","max_frame_bytes","stack_frames","dynamic_frames"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","OK","29.2","95176","468","21636","95644","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","OK","28.6","92192","468","21636","92660","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","OK","29","85276","468","28932","85744","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","OK","29.3","89156","468","28932","89624","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","OK","30.1","82412","468","28932","82880","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","OK","31","86300","468","28932","86768","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","OK","30","81956","468","28932","82424","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_knn16_fp32","OK","30.7","85844","468","28932","86312","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_perchannel_euclidean_fp32","OK","30","91908","468","28932","92376","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_perchannel_knn16_fp32","OK","31.4","95796","468","28932","96264","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_pertensor_euclidean_fp32","OK","28.3","89076","468","28932","89544","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_pertensor_knn16_fp32","OK","29.2","92956","468","28932","93424","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_euclidean_fp32","OK","29.4","84904","468","23684","85372","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_euclidean_int8","OK","31.8","84816","468","23684","85284","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_knn16_fp32","OK","29.9","88784","468","23684","89252","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_knn16_int8","OK","31.4","85800","468","23684","86268","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_euclidean_fp32","OK","28.9","80416","468","23684","80884","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_euclidean_int8","OK","29.2","80336","468","23684","80804","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_knn16_fp32","OK","29.5","84304","468","23684","84772","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_knn16_int8","OK","29.8","81320","468","23684","81788","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_euclidean_fp32","OK","29.1","84856","468","21636","85324","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_euclidean_int8","OK","32.5","84768","468","21636","85236","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_knn16_fp32","OK","31.9","88736","468","21636","89204","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_knn16_int8","OK","32.9","85752","468","21636","86220","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_euclidean_fp32","OK","32.9","80368","468","21636","80836","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_euclidean_int8","OK","32.6","80288","468","21636","80756","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_knn16_fp32","OK","32.6","84256","468","21636","84724","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_knn16_int8","OK","30.8","81272","468","21636","81740","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qab_euclidean_fp32","OK","30.4","79228","468","28932","79696","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qab_knn16_fp32","OK","29.6","83116","468","28932","83584","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qabar_euclidean_fp32","OK","30.3","81004","468","28932","81472","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qabar_knn16_fp32","OK","31.9","84884","468","28932","85352","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_actboundaries_qab_euclidean_fp32","OK","28.8","77108","468","28932","77576","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_actboundaries_qab_knn16_fp32","OK","29","80996","468","28932","81464","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_actboundaries_qabar_euclidean_fp32","OK","28.9","78404","468","28932","78872","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_actboundaries_qabar_knn16_fp32","OK","29","82292","468","28932","82760","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_qab_euclidean_fp32","OK","29.1","76692","468","28932","77160","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_qab_knn16_fp32","OK","29.3","80580","468","28932","81048","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_qabar_euclidean_fp32","OK","28.6","77964","468","28932","78432","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_pertensor_qabar_knn16_fp32","OK","27.4","81852","468","28932","82320","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qab_euclidean_fp32","OK","41.3","111112","468","24068","111580","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qab_euclidean_int8","OK","32.5","111032","468","24068","111500","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qab_knn16_fp32","OK","27","115000","468","24068","115468","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qab_knn16_int8","OK","27.2","112016","468","24068","112484","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qabar_euclidean_fp32","OK","26.2","106504","468","24068","106972","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qabar_euclidean_int8","OK","27.2","106424","468","24068","106892","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qabar_knn16_fp32","OK","26.2","110392","468","24068","110860","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h16_qabar_knn16_int8","OK","26.6","107408","468","24068","107876","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qab_euclidean_fp32","OK","26.2","111088","468","22020","111556","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qab_euclidean_int8","OK","26.2","111000","468","22020","111468","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qab_knn16_fp32","OK","26.6","114968","468","22020","115436","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qab_knn16_int8","OK","26.2","111984","468","22020","112452","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qabar_euclidean_fp32","OK","26.3","106480","468","22020","106948","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qabar_euclidean_int8","OK","25.8","106400","468","22020","106868","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qabar_knn16_fp32","OK","26.4","110368","468","22020","110836","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","true_int8_h8_qabar_knn16_int8","OK","30.4","107384","468","22020","107852","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_perchannel_qab_euclidean_fp32","OK","30.2","106708","468","30468","107176","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_perchannel_qab_knn16_fp32","OK","31.4","110596","468","30468","111064","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_perchannel_qabar_euclidean_fp32","OK","29.2","108884","468","30468","109352","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2912","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_perchannel_qabar_knn16_fp32","OK","30.2","112764","468","30468","113232","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2912","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_actboundaries_qab_euclidean_fp32","OK","29.9","102548","468","30468","103016","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2928","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_actboundaries_qab_knn16_fp32","OK","30.4","106428","468","30468","106896","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2928","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_actboundaries_qabar_euclidean_fp32","OK","31.5","103692","468","30468","104160","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_actboundaries_qabar_knn16_fp32","OK","27.3","107580","468","30468","108048","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_qab_euclidean_fp32","OK","27.7","102124","468","30468","102592","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_qab_knn16_fp32","OK","28.7","106012","468","30468","106480","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2920","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_qabar_euclidean_fp32","OK","28.5","103276","468","30468","103744","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2912","1120","171"
"stm32-nucleo-h7s3l8","case1","b77482e85dc3","w_all_pertensor_qabar_knn16_fp32","OK","29.2","107156","468","30468","107624","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2912","1120","171"
