head,metric,row,coef,lo,hi,flash_saved_kb
knn_clustered_16,recall,n_layers: 2->1,-0.13193640573551998,-0.14753586569351265,-0.11633694577752733,22.611979166666668
knn_clustered_16,recall,expand: 2->1,-0.03443658178655965,-0.04715839594839905,-0.02171476762472025,35.048611111111114
knn_clustered_16,recall,discretization: zoh->euler,-0.014840573440617571,-0.02756243720753376,-0.0021187096737013827,0.0
euclidean,f1,selective: mamba->classic,-0.059843640682692656,-0.07602497395654324,-0.04366230740884207,9.831597222222221
euclidean,f1,d_state: 32->16,-0.006518945784733693,-0.026290035257184322,0.013252143687716936,7.036458333333333
euclidean,f1,d_state: 16->8,-0.03371059774573084,-0.053494482601704835,-0.013926712889756842,3.5182291666666665
euclidean,f1,n_layers: 4->2,0.005341425995298632,-0.014429584740977046,0.02511243673157431,45.223958333333336
euclidean,f1,n_layers: 2->1,-0.07042373330082108,-0.09019483256453963,-0.05065263403710253,22.611979166666668
euclidean,f1,expand: 2->1,-0.01833315502970349,-0.034486640075156186,-0.002179669984250794,35.048611111111114
euclidean,f1,discretization: zoh->euler,-0.0030672207881225003,-0.019220641697767795,0.013086200121522795,0.0
knn_clustered_16,f1,selective: mamba->classic,-0.009644411008796719,-0.01980085500203841,0.0005120329844449743,9.831597222222221
knn_clustered_16,f1,d_state: 32->16,-0.009252862449802945,-0.021686098034780846,0.003180373135174953,7.036458333333333
knn_clustered_16,f1,d_state: 16->8,-0.030775953873570627,-0.0432273239322919,-0.018324583814849353,3.5182291666666665
knn_clustered_16,f1,n_layers: 4->2,-0.022864610556707216,-0.03531832727566488,-0.010410893837749546,45.223958333333336
knn_clustered_16,f1,n_layers: 2->1,-0.10140836576061552,-0.11386212189518426,-0.08895460962604677,22.611979166666668
knn_clustered_16,f1,expand: 2->1,-0.025041948601218292,-0.03519834962968302,-0.01488554757275357,35.048611111111114
knn_clustered_16,f1,discretization: zoh->euler,-0.009891073284006987,-0.02004751391445351,0.00026536734643953577,0.0
