pooling,head,metric,row,coef,lo,hi,abs_coef,flash_saved_kb,p
concat_mean_last,mahalanobis,pauc,n_layers: 2->1,0.04034312422470315,0.0010245947291200042,0.0796616537202863,0.04034312422470315,22.611979166666668,0.044487393238359325
concat_mean_last,mahalanobis,pauc,expand: 2->1,0.04496805508567868,0.012864610185429053,0.0770714999859283,0.04496805508567868,35.048611111111114,0.006780695407128382
concat_mean_last,mahalanobis,pauc,discretization: zoh->euler,0.006008550416445213,-0.02609489448380442,0.03811199531669485,0.006008550416445213,0.0,0.7097149868648042
concat_mean_last,knn_full,pauc,selective: mamba->classic,0.06531036709465748,0.028018931246577318,0.10260180294273766,0.06531036709465748,9.831597222222221,0.0008562239505104874
concat_mean_last,knn_full,pauc,d_state: 32->16,0.029603501119649676,-0.01606899368211493,0.07527599592141429,0.029603501119649676,7.036458333333333,0.2000182209293118
concat_mean_last,knn_full,pauc,d_state: 16->8,-0.04105926691153976,-0.08673176171330435,0.004613227890224843,0.04105926691153976,3.5182291666666665,0.0772234777680352
concat_mean_last,knn_full,pauc,n_layers: 4->2,-0.05254335117522907,-0.09821584597699368,-0.006870856373464462,0.05254335117522907,45.223958333333336,0.024824167348447623
concat_mean_last,knn_full,pauc,n_layers: 2->1,-0.00913742690058485,-0.05480992170234944,0.036535067901179746,0.00913742690058485,22.611979166666668,0.6907273966889385
concat_mean_last,knn_full,pauc,expand: 2->1,0.029765021292134534,-0.007526414555945639,0.06705645714021471,0.029765021292134534,35.048611111111114,0.11574342493147906
concat_mean_last,knn_full,pauc,discretization: zoh->euler,-0.017234412170616276,-0.05452584801869646,0.02005702367746391,0.017234412170616276,0.0,0.35933944495704223
concat_mean_last,knn_clustered_16,pauc,selective: mamba->classic,0.05432951256316482,0.017068615436794353,0.09159040968953527,0.05432951256316482,9.831597222222221,0.004926584998465541
concat_mean_last,knn_clustered_16,pauc,d_state: 32->16,0.03712362863080595,-0.008511464028165848,0.08275872128977774,0.03712362863080595,7.036458333333333,0.10904975853226766
concat_mean_last,knn_clustered_16,pauc,d_state: 16->8,-0.049438388067275865,-0.09507348072624766,-0.0038032954083040763,0.049438388067275865,3.5182291666666665,0.03418499217906102
concat_mean_last,knn_clustered_16,pauc,n_layers: 4->2,-0.06026737168334046,-0.10590246434231225,-0.014632279024368672,0.06026737168334046,45.223958333333336,0.010450752832823484
concat_mean_last,knn_clustered_16,pauc,n_layers: 2->1,-0.031871496061089404,-0.07750658872006119,0.013763596597882378,0.031871496061089404,22.611979166666668,0.1677747641001707
concat_mean_last,knn_clustered_16,pauc,expand: 2->1,0.022548216078917854,-0.014712681047452617,0.059809113205288325,0.022548216078917854,35.048611111111114,0.23114305575000108
concat_mean_last,knn_clustered_16,pauc,discretization: zoh->euler,-0.022049810975249606,-0.05931070810162009,0.015211086151120878,0.022049810975249606,0.0,0.24150294954427523
