held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1,auc,pauc,cov_condition_number,config_name,model_hash,d_state,n_layers,expand,selective,discretization,flash_footprint_int8_kb,streaming_peak_ram_int8_kb,streaming_peak_ram_fp32_kb,head_flash_fp32_kb,total_flash_kb,flags_nothing,flags_everything,axis
1,mean,knn_full,perentile_same_machie_95.0,1.3121299394518229,0.9591078066914498,0.9772727272727272,0.9678030303030304,0.9681050656660412,0.9863837235996328,0.928335387366488,,78ca5922c9bf.yaml,95409e0e766e,32,2,2,True,euler,75.9375,25.31640625,101.265625,810.0,885.9375,False,False,total_flash_kb
1,mean,mahalanobis,perentile_same_machie_95.0,46.661860087103975,0.943661971830986,0.7613636363636364,0.8579545454545454,0.8427672955974843,0.8873679981634528,0.8629688028611473,28355.94698530149,b8d158135893.yaml,fcfc484ffa45,8,1,1,False,zoh,13.078125,3.0,12.0,16.25,29.328125,False,False,streaming_peak_ram_int8_kb
1,mean,mahalanobis,perentile_same_machie_95.0,48.51421797383203,0.9484536082474226,0.696969696969697,0.8295454545454546,0.8034934497816594,0.892619375573921,0.8350279106858054,49402.3509117052,c8b06986e2fc.yaml,2173b8bdf0f9,8,1,1,True,euler,14.5625,3.01953125,12.078125,16.25,30.8125,False,False,streaming_peak_ram_int8_kb
1,mean,knn_full,perentile_same_machie_95.0,1.5178481589725663,0.9541666666666668,0.8674242424242424,0.9128787878787878,0.9087301587301588,0.927987258953168,0.8470198395437629,,27a2b2159d54.yaml,d19d06b1cbfa,8,2,1,False,zoh,26.09375,3.6875,14.75,810.0,836.09375,False,False,streaming_peak_ram_int8_kb
1,mean,knn_full,perentile_same_machie_95.0,1.414279608696991,0.9377593360995852,0.8560606060606061,0.8996212121212122,0.8950495049504951,0.959065082644628,0.8624552945725195,,b4778c6ea130.yaml,15fba0d893ec,8,2,1,True,euler,29.0625,3.70703125,14.828125,810.0,839.0625,False,False,streaming_peak_ram_int8_kb
1,concat_mean_last,knn_full,perentile_same_machie_95.0,1.4216657899690346,0.9387755102040816,0.8712121212121212,0.9071969696969696,0.9037328094302554,0.9595529155188244,0.8608845633367164,,b4778c6ea130.yaml,15fba0d893ec,8,2,1,True,euler,29.0625,3.76953125,15.078125,1620.0,1649.0625,False,False,streaming_peak_ram_int8_kb
1,mean,knn_full,perentile_same_machie_95.0,1.4464985466562168,0.9482071713147412,0.9015151515151516,0.9261363636363636,0.9242718446601942,0.9752496556473828,0.8818477840607026,,61a995157d85.yaml,50e3ef07f16f,8,4,1,False,zoh,52.125,5.0625,20.25,810.0,862.125,False,False,streaming_peak_ram_int8_kb
1,mean,knn_full,perentile_same_machie_95.0,1.19605316288506,0.9411764705882352,0.9696969696969696,0.9545454545454546,0.9552238805970148,0.9824380165289256,0.909093929727901,,352f70960ed3.yaml,b77482e85dc3,8,2,2,False,euler,51.96875,7.25,29.0,810.0,861.96875,False,False,streaming_peak_ram_int8_kb
1,concat_mean_last,knn_full,perentile_same_machie_95.0,1.2231747823773755,0.9343065693430656,0.9696969696969696,0.9507575757575758,0.9516728624535316,0.9827680211202938,0.9098037794210044,,352f70960ed3.yaml,b77482e85dc3,8,2,2,False,euler,51.96875,7.3125,29.25,1620.0,1671.96875,False,False,streaming_peak_ram_int8_kb
1,mean,knn_full,perentile_same_machie_95.0,1.3121299394518229,0.9591078066914498,0.9772727272727272,0.9678030303030304,0.9681050656660412,0.9863837235996328,0.928335387366488,,78ca5922c9bf.yaml,95409e0e766e,32,2,2,True,euler,75.9375,25.31640625,101.265625,810.0,885.9375,False,False,streaming_peak_ram_int8_kb
