pooling,flash_footprint_fp32_kb,flash_footprint_int8_kb,traced_module_activation_fp32_kb,streaming_peak_ram_fp32_kb,streaming_peak_ram_int8_kb,config_name,model_hash,held_out_case,d_state,n_layers,expand,selective,discretization
mean,232.25,58.0625,430.0,101.0,25.25,785844bd75bc.yaml,33cc13dd48fe,1,32,2,2,False,zoh
max,232.25,58.0625,430.0,101.0,25.25,785844bd75bc.yaml,33cc13dd48fe,1,32,2,2,False,zoh
concat_mean_last,232.25,58.0625,430.0,101.25,25.3125,785844bd75bc.yaml,33cc13dd48fe,1,32,2,2,False,zoh
mean,232.25,58.0625,430.0,101.0,25.25,1bb643a40705.yaml,7d3528f7bcb4,1,32,2,2,False,euler
max,232.25,58.0625,430.0,101.0,25.25,1bb643a40705.yaml,7d3528f7bcb4,1,32,2,2,False,euler
concat_mean_last,232.25,58.0625,430.0,101.25,25.3125,1bb643a40705.yaml,7d3528f7bcb4,1,32,2,2,False,euler
mean,152.25,38.0625,258.0,51.015625,12.75390625,19b7bdbfdb1b.yaml,9b2f070215b3,1,32,2,1,True,zoh
max,152.25,38.0625,258.0,51.015625,12.75390625,19b7bdbfdb1b.yaml,9b2f070215b3,1,32,2,1,True,zoh
concat_mean_last,152.25,38.0625,258.0,51.265625,12.81640625,19b7bdbfdb1b.yaml,9b2f070215b3,1,32,2,1,True,zoh
mean,152.25,38.0625,258.0,51.015625,12.75390625,615b3e5e8dc9.yaml,3944b0a8c4ce,1,32,2,1,True,euler
max,152.25,38.0625,258.0,51.015625,12.75390625,615b3e5e8dc9.yaml,3944b0a8c4ce,1,32,2,1,True,euler
concat_mean_last,152.25,38.0625,258.0,51.265625,12.81640625,615b3e5e8dc9.yaml,3944b0a8c4ce,1,32,2,1,True,euler
mean,116.75,29.1875,258.0,50.75,12.6875,88c8a2386977.yaml,1d0f615af9a7,1,32,2,1,False,zoh
max,116.75,29.1875,258.0,50.75,12.6875,88c8a2386977.yaml,1d0f615af9a7,1,32,2,1,False,zoh
concat_mean_last,116.75,29.1875,258.0,51.0,12.75,88c8a2386977.yaml,1d0f615af9a7,1,32,2,1,False,zoh
mean,116.75,29.1875,258.0,50.75,12.6875,dd85abe752ba.yaml,f517b199970d,1,32,2,1,False,euler
max,116.75,29.1875,258.0,50.75,12.6875,dd85abe752ba.yaml,f517b199970d,1,32,2,1,False,euler
concat_mean_last,116.75,29.1875,258.0,51.0,12.75,dd85abe752ba.yaml,f517b199970d,1,32,2,1,False,euler
mean,152.0,38.0,430.0,83.765625,20.94140625,35e13b3d6a57.yaml,8c4aead7227f,1,32,1,2,True,zoh
max,152.0,38.0,430.0,83.765625,20.94140625,35e13b3d6a57.yaml,8c4aead7227f,1,32,1,2,True,zoh
concat_mean_last,152.0,38.0,430.0,84.015625,21.00390625,35e13b3d6a57.yaml,8c4aead7227f,1,32,1,2,True,zoh
mean,152.0,38.0,430.0,83.765625,20.94140625,91443246bcf9.yaml,78370c3ccbfb,1,32,1,2,True,euler
max,152.0,38.0,430.0,83.765625,20.94140625,91443246bcf9.yaml,78370c3ccbfb,1,32,1,2,True,euler
concat_mean_last,152.0,38.0,430.0,84.015625,21.00390625,91443246bcf9.yaml,78370c3ccbfb,1,32,1,2,True,euler
mean,116.25,29.0625,430.0,83.5,20.875,1fd5020aab7f.yaml,4e6f244b9119,1,32,1,2,False,zoh
max,116.25,29.0625,430.0,83.5,20.875,1fd5020aab7f.yaml,4e6f244b9119,1,32,1,2,False,zoh
concat_mean_last,116.25,29.0625,430.0,83.75,20.9375,1fd5020aab7f.yaml,4e6f244b9119,1,32,1,2,False,zoh
mean,116.25,29.0625,430.0,83.5,20.875,e383b78a1108.yaml,bf210af21ef5,1,32,1,2,False,euler
max,116.25,29.0625,430.0,83.5,20.875,e383b78a1108.yaml,bf210af21ef5,1,32,1,2,False,euler
concat_mean_last,116.25,29.0625,430.0,83.75,20.9375,e383b78a1108.yaml,bf210af21ef5,1,32,1,2,False,euler
mean,76.25,19.0625,258.0,42.265625,10.56640625,f3c8b9679081.yaml,a96b30718cb1,1,32,1,1,True,zoh
max,76.25,19.0625,258.0,42.265625,10.56640625,f3c8b9679081.yaml,a96b30718cb1,1,32,1,1,True,zoh
concat_mean_last,76.25,19.0625,258.0,42.515625,10.62890625,f3c8b9679081.yaml,a96b30718cb1,1,32,1,1,True,zoh
mean,76.25,19.0625,258.0,42.265625,10.56640625,cd2caed96f33.yaml,a09d692fb204,1,32,1,1,True,euler
max,76.25,19.0625,258.0,42.265625,10.56640625,cd2caed96f33.yaml,a09d692fb204,1,32,1,1,True,euler
concat_mean_last,76.25,19.0625,258.0,42.515625,10.62890625,cd2caed96f33.yaml,a09d692fb204,1,32,1,1,True,euler
mean,58.5,14.625,258.0,42.0,10.5,ddca9c6767da.yaml,c24ed91eaf8d,1,32,1,1,False,zoh
max,58.5,14.625,258.0,42.0,10.5,ddca9c6767da.yaml,c24ed91eaf8d,1,32,1,1,False,zoh
concat_mean_last,58.5,14.625,258.0,42.25,10.5625,ddca9c6767da.yaml,c24ed91eaf8d,1,32,1,1,False,zoh
mean,58.5,14.625,258.0,42.0,10.5,b73c95fa7731.yaml,a5ba155885e9,1,32,1,1,False,euler
max,58.5,14.625,258.0,42.0,10.5,b73c95fa7731.yaml,a5ba155885e9,1,32,1,1,False,euler
concat_mean_last,58.5,14.625,258.0,42.25,10.5625,b73c95fa7731.yaml,a5ba155885e9,1,32,1,1,False,euler
mean,511.25,127.8125,430.0,72.140625,18.03515625,9fc675fd0183.yaml,76529a9ade37,1,16,4,2,True,zoh
max,511.25,127.8125,430.0,72.140625,18.03515625,9fc675fd0183.yaml,76529a9ade37,1,16,4,2,True,zoh
concat_mean_last,511.25,127.8125,430.0,72.390625,18.09765625,9fc675fd0183.yaml,76529a9ade37,1,16,4,2,True,zoh
mean,511.25,127.8125,430.0,72.140625,18.03515625,66f9b66faef8.yaml,f3b8233e4c4f,1,16,4,2,True,euler
max,511.25,127.8125,430.0,72.140625,18.03515625,66f9b66faef8.yaml,f3b8233e4c4f,1,16,4,2,True,euler
concat_mean_last,511.25,127.8125,430.0,72.390625,18.09765625,66f9b66faef8.yaml,f3b8233e4c4f,1,16,4,2,True,euler
mean,431.75,107.9375,430.0,72.0,18.0,958b5079feae.yaml,3371b4ab52be,1,16,4,2,False,zoh
max,431.75,107.9375,430.0,72.0,18.0,958b5079feae.yaml,3371b4ab52be,1,16,4,2,False,zoh
concat_mean_last,431.75,107.9375,430.0,72.25,18.0625,958b5079feae.yaml,3371b4ab52be,1,16,4,2,False,zoh
mean,431.75,107.9375,430.0,72.0,18.0,7bd3273ab33e.yaml,22046ec32b53,1,16,4,2,False,euler
max,431.75,107.9375,430.0,72.0,18.0,7bd3273ab33e.yaml,22046ec32b53,1,16,4,2,False,euler
concat_mean_last,431.75,107.9375,430.0,72.25,18.0625,7bd3273ab33e.yaml,22046ec32b53,1,16,4,2,False,euler
mean,256.25,64.0625,258.0,36.390625,9.09765625,bd0c0b487924.yaml,53bb32154053,1,16,4,1,True,zoh
max,256.25,64.0625,258.0,36.390625,9.09765625,bd0c0b487924.yaml,53bb32154053,1,16,4,1,True,zoh
concat_mean_last,256.25,64.0625,258.0,36.640625,9.16015625,bd0c0b487924.yaml,53bb32154053,1,16,4,1,True,zoh
mean,256.25,64.0625,258.0,36.390625,9.09765625,acb5f6b4022f.yaml,4da754070cf6,1,16,4,1,True,euler
max,256.25,64.0625,258.0,36.390625,9.09765625,acb5f6b4022f.yaml,4da754070cf6,1,16,4,1,True,euler
concat_mean_last,256.25,64.0625,258.0,36.640625,9.16015625,acb5f6b4022f.yaml,4da754070cf6,1,16,4,1,True,euler
mean,216.75,54.1875,258.0,36.25,9.0625,2de62f14efc4.yaml,be9143693d04,1,16,4,1,False,zoh
max,216.75,54.1875,258.0,36.25,9.0625,2de62f14efc4.yaml,be9143693d04,1,16,4,1,False,zoh
concat_mean_last,216.75,54.1875,258.0,36.5,9.125,2de62f14efc4.yaml,be9143693d04,1,16,4,1,False,zoh
mean,216.75,54.1875,258.0,36.25,9.0625,70b533d14566.yaml,8d40eaa814c7,1,16,4,1,False,euler
max,216.75,54.1875,258.0,36.25,9.0625,70b533d14566.yaml,8d40eaa814c7,1,16,4,1,False,euler
concat_mean_last,216.75,54.1875,258.0,36.5,9.125,70b533d14566.yaml,8d40eaa814c7,1,16,4,1,False,euler
mean,255.75,63.9375,430.0,53.140625,13.28515625,0e68422ca28d.yaml,ce8ec3e934b4,1,16,2,2,True,zoh
max,255.75,63.9375,430.0,53.140625,13.28515625,0e68422ca28d.yaml,ce8ec3e934b4,1,16,2,2,True,zoh
concat_mean_last,255.75,63.9375,430.0,53.390625,13.34765625,0e68422ca28d.yaml,ce8ec3e934b4,1,16,2,2,True,zoh
mean,255.75,63.9375,430.0,53.140625,13.28515625,f19d5ca15add.yaml,03dbd2d1bc74,1,16,2,2,True,euler
max,255.75,63.9375,430.0,53.140625,13.28515625,f19d5ca15add.yaml,03dbd2d1bc74,1,16,2,2,True,euler
concat_mean_last,255.75,63.9375,430.0,53.390625,13.34765625,f19d5ca15add.yaml,03dbd2d1bc74,1,16,2,2,True,euler
mean,216.0,54.0,430.0,53.0,13.25,3b440664aeb5.yaml,a15fdab255cf,1,16,2,2,False,zoh
max,216.0,54.0,430.0,53.0,13.25,3b440664aeb5.yaml,a15fdab255cf,1,16,2,2,False,zoh
concat_mean_last,216.0,54.0,430.0,53.25,13.3125,3b440664aeb5.yaml,a15fdab255cf,1,16,2,2,False,zoh
mean,216.0,54.0,430.0,53.0,13.25,83ce3829615e.yaml,e849f675acc5,1,16,2,2,False,euler
max,216.0,54.0,430.0,53.0,13.25,83ce3829615e.yaml,e849f675acc5,1,16,2,2,False,euler
concat_mean_last,216.0,54.0,430.0,53.25,13.3125,83ce3829615e.yaml,e849f675acc5,1,16,2,2,False,euler
mean,128.25,32.0625,258.0,26.890625,6.72265625,522ea9b11b24.yaml,1182323d482b,1,16,2,1,True,zoh
max,128.25,32.0625,258.0,26.890625,6.72265625,522ea9b11b24.yaml,1182323d482b,1,16,2,1,True,zoh
concat_mean_last,128.25,32.0625,258.0,27.140625,6.78515625,522ea9b11b24.yaml,1182323d482b,1,16,2,1,True,zoh
mean,128.25,32.0625,258.0,26.890625,6.72265625,f4cd557b7e3b.yaml,16662b29beb3,1,16,2,1,True,euler
max,128.25,32.0625,258.0,26.890625,6.72265625,f4cd557b7e3b.yaml,16662b29beb3,1,16,2,1,True,euler
concat_mean_last,128.25,32.0625,258.0,27.140625,6.78515625,f4cd557b7e3b.yaml,16662b29beb3,1,16,2,1,True,euler
mean,108.5,27.125,258.0,26.75,6.6875,1df2b3ea9ccc.yaml,cef3e32de1b4,1,16,2,1,False,zoh
max,108.5,27.125,258.0,26.75,6.6875,1df2b3ea9ccc.yaml,cef3e32de1b4,1,16,2,1,False,zoh
concat_mean_last,108.5,27.125,258.0,27.0,6.75,1df2b3ea9ccc.yaml,cef3e32de1b4,1,16,2,1,False,zoh
mean,108.5,27.125,258.0,26.75,6.6875,f2578cb06991.yaml,238a49a973a3,1,16,2,1,False,euler
max,108.5,27.125,258.0,26.75,6.6875,f2578cb06991.yaml,238a49a973a3,1,16,2,1,False,euler
concat_mean_last,108.5,27.125,258.0,27.0,6.75,f2578cb06991.yaml,238a49a973a3,1,16,2,1,False,euler
mean,128.0,32.0,430.0,43.640625,10.91015625,af9fc8c57bb6.yaml,7ba54936f952,1,16,1,2,True,zoh
max,128.0,32.0,430.0,43.640625,10.91015625,af9fc8c57bb6.yaml,7ba54936f952,1,16,1,2,True,zoh
concat_mean_last,128.0,32.0,430.0,43.890625,10.97265625,af9fc8c57bb6.yaml,7ba54936f952,1,16,1,2,True,zoh
mean,128.0,32.0,430.0,43.640625,10.91015625,803a3eeb60b9.yaml,06c8e405530e,1,16,1,2,True,euler
max,128.0,32.0,430.0,43.640625,10.91015625,803a3eeb60b9.yaml,06c8e405530e,1,16,1,2,True,euler
concat_mean_last,128.0,32.0,430.0,43.890625,10.97265625,803a3eeb60b9.yaml,06c8e405530e,1,16,1,2,True,euler
mean,108.125,27.03125,430.0,43.5,10.875,0a649dc836b0.yaml,041df1be021e,1,16,1,2,False,zoh
max,108.125,27.03125,430.0,43.5,10.875,0a649dc836b0.yaml,041df1be021e,1,16,1,2,False,zoh
concat_mean_last,108.125,27.03125,430.0,43.75,10.9375,0a649dc836b0.yaml,041df1be021e,1,16,1,2,False,zoh
mean,108.125,27.03125,430.0,43.5,10.875,5b2a781d294a.yaml,a7ad8fa4af9f,1,16,1,2,False,euler
max,108.125,27.03125,430.0,43.5,10.875,5b2a781d294a.yaml,a7ad8fa4af9f,1,16,1,2,False,euler
concat_mean_last,108.125,27.03125,430.0,43.75,10.9375,5b2a781d294a.yaml,a7ad8fa4af9f,1,16,1,2,False,euler
mean,64.25,16.0625,258.0,22.140625,5.53515625,2dd0effd4eaa.yaml,0e00bfb6f56f,1,16,1,1,True,zoh
max,64.25,16.0625,258.0,22.140625,5.53515625,2dd0effd4eaa.yaml,0e00bfb6f56f,1,16,1,1,True,zoh
concat_mean_last,64.25,16.0625,258.0,22.390625,5.59765625,2dd0effd4eaa.yaml,0e00bfb6f56f,1,16,1,1,True,zoh
mean,64.25,16.0625,258.0,22.140625,5.53515625,6bdb1f777147.yaml,cf305a75c126,1,16,1,1,True,euler
max,64.25,16.0625,258.0,22.140625,5.53515625,6bdb1f777147.yaml,cf305a75c126,1,16,1,1,True,euler
concat_mean_last,64.25,16.0625,258.0,22.390625,5.59765625,6bdb1f777147.yaml,cf305a75c126,1,16,1,1,True,euler
mean,54.375,13.59375,258.0,22.0,5.5,2e2427afcb6d.yaml,05c01bd0dcff,1,16,1,1,False,zoh
max,54.375,13.59375,258.0,22.0,5.5,2e2427afcb6d.yaml,05c01bd0dcff,1,16,1,1,False,zoh
concat_mean_last,54.375,13.59375,258.0,22.25,5.5625,2e2427afcb6d.yaml,05c01bd0dcff,1,16,1,1,False,zoh
mean,54.375,13.59375,258.0,22.0,5.5,c08b62a11771.yaml,a4cab7f2fe52,1,16,1,1,False,euler
max,54.375,13.59375,258.0,22.0,5.5,c08b62a11771.yaml,a4cab7f2fe52,1,16,1,1,False,euler
concat_mean_last,54.375,13.59375,258.0,22.25,5.5625,c08b62a11771.yaml,a4cab7f2fe52,1,16,1,1,False,euler
mean,463.25,115.8125,430.0,40.078125,10.01953125,882f1bbbb7cd.yaml,53d656a091fd,1,8,4,2,True,zoh
max,463.25,115.8125,430.0,40.078125,10.01953125,882f1bbbb7cd.yaml,53d656a091fd,1,8,4,2,True,zoh
concat_mean_last,463.25,115.8125,430.0,40.328125,10.08203125,882f1bbbb7cd.yaml,53d656a091fd,1,8,4,2,True,zoh
mean,463.25,115.8125,430.0,40.078125,10.01953125,b7fa91c2de83.yaml,8c7571539ddc,1,8,4,2,True,euler
max,463.25,115.8125,430.0,40.078125,10.01953125,b7fa91c2de83.yaml,8c7571539ddc,1,8,4,2,True,euler
concat_mean_last,463.25,115.8125,430.0,40.328125,10.08203125,b7fa91c2de83.yaml,8c7571539ddc,1,8,4,2,True,euler
mean,415.5,103.875,430.0,40.0,10.0,489f94bd9fcd.yaml,a44c4b500d74,1,8,4,2,False,zoh
max,415.5,103.875,430.0,40.0,10.0,489f94bd9fcd.yaml,a44c4b500d74,1,8,4,2,False,zoh
concat_mean_last,415.5,103.875,430.0,40.25,10.0625,489f94bd9fcd.yaml,a44c4b500d74,1,8,4,2,False,zoh
mean,415.5,103.875,430.0,40.0,10.0,c76270425c9e.yaml,319c77ff2fe8,1,8,4,2,False,euler
max,415.5,103.875,430.0,40.0,10.0,c76270425c9e.yaml,319c77ff2fe8,1,8,4,2,False,euler
concat_mean_last,415.5,103.875,430.0,40.25,10.0625,c76270425c9e.yaml,319c77ff2fe8,1,8,4,2,False,euler
mean,232.25,58.0625,258.0,20.328125,5.08203125,b257164b50d8.yaml,adaafd0734ff,1,8,4,1,True,zoh
max,232.25,58.0625,258.0,20.328125,5.08203125,b257164b50d8.yaml,adaafd0734ff,1,8,4,1,True,zoh
concat_mean_last,232.25,58.0625,258.0,20.578125,5.14453125,b257164b50d8.yaml,adaafd0734ff,1,8,4,1,True,zoh
mean,232.25,58.0625,258.0,20.328125,5.08203125,a50245a10669.yaml,0f5602c303a5,1,8,4,1,True,euler
max,232.25,58.0625,258.0,20.328125,5.08203125,a50245a10669.yaml,0f5602c303a5,1,8,4,1,True,euler
concat_mean_last,232.25,58.0625,258.0,20.578125,5.14453125,a50245a10669.yaml,0f5602c303a5,1,8,4,1,True,euler
mean,208.5,52.125,258.0,20.25,5.0625,61a995157d85.yaml,50e3ef07f16f,1,8,4,1,False,zoh
max,208.5,52.125,258.0,20.25,5.0625,61a995157d85.yaml,50e3ef07f16f,1,8,4,1,False,zoh
concat_mean_last,208.5,52.125,258.0,20.5,5.125,61a995157d85.yaml,50e3ef07f16f,1,8,4,1,False,zoh
mean,208.5,52.125,258.0,20.25,5.0625,e0902212d370.yaml,dfe6f2bb093c,1,8,4,1,False,euler
max,208.5,52.125,258.0,20.25,5.0625,e0902212d370.yaml,dfe6f2bb093c,1,8,4,1,False,euler
concat_mean_last,208.5,52.125,258.0,20.5,5.125,e0902212d370.yaml,dfe6f2bb093c,1,8,4,1,False,euler
mean,231.75,57.9375,430.0,29.078125,7.26953125,3ec7186fad7e.yaml,201c928c631f,1,8,2,2,True,zoh
max,231.75,57.9375,430.0,29.078125,7.26953125,3ec7186fad7e.yaml,201c928c631f,1,8,2,2,True,zoh
concat_mean_last,231.75,57.9375,430.0,29.328125,7.33203125,3ec7186fad7e.yaml,201c928c631f,1,8,2,2,True,zoh
mean,231.75,57.9375,430.0,29.078125,7.26953125,b39731b66741.yaml,086acf0275b8,1,8,2,2,True,euler
max,231.75,57.9375,430.0,29.078125,7.26953125,b39731b66741.yaml,086acf0275b8,1,8,2,2,True,euler
concat_mean_last,231.75,57.9375,430.0,29.328125,7.33203125,b39731b66741.yaml,086acf0275b8,1,8,2,2,True,euler
mean,207.875,51.96875,430.0,29.0,7.25,e622e3993a72.yaml,04f342ed4dcb,1,8,2,2,False,zoh
max,207.875,51.96875,430.0,29.0,7.25,e622e3993a72.yaml,04f342ed4dcb,1,8,2,2,False,zoh
concat_mean_last,207.875,51.96875,430.0,29.25,7.3125,e622e3993a72.yaml,04f342ed4dcb,1,8,2,2,False,zoh
mean,207.875,51.96875,430.0,29.0,7.25,352f70960ed3.yaml,b77482e85dc3,1,8,2,2,False,euler
max,207.875,51.96875,430.0,29.0,7.25,352f70960ed3.yaml,b77482e85dc3,1,8,2,2,False,euler
concat_mean_last,207.875,51.96875,430.0,29.25,7.3125,352f70960ed3.yaml,b77482e85dc3,1,8,2,2,False,euler
mean,116.25,29.0625,258.0,14.828125,3.70703125,58fd79f02b2d.yaml,08bf71867940,1,8,2,1,True,zoh
max,116.25,29.0625,258.0,14.828125,3.70703125,58fd79f02b2d.yaml,08bf71867940,1,8,2,1,True,zoh
concat_mean_last,116.25,29.0625,258.0,15.078125,3.76953125,58fd79f02b2d.yaml,08bf71867940,1,8,2,1,True,zoh
mean,116.25,29.0625,258.0,14.828125,3.70703125,b4778c6ea130.yaml,15fba0d893ec,1,8,2,1,True,euler
max,116.25,29.0625,258.0,14.828125,3.70703125,b4778c6ea130.yaml,15fba0d893ec,1,8,2,1,True,euler
concat_mean_last,116.25,29.0625,258.0,15.078125,3.76953125,b4778c6ea130.yaml,15fba0d893ec,1,8,2,1,True,euler
mean,104.375,26.09375,258.0,14.75,3.6875,27a2b2159d54.yaml,d19d06b1cbfa,1,8,2,1,False,zoh
max,104.375,26.09375,258.0,14.75,3.6875,27a2b2159d54.yaml,d19d06b1cbfa,1,8,2,1,False,zoh
concat_mean_last,104.375,26.09375,258.0,15.0,3.75,27a2b2159d54.yaml,d19d06b1cbfa,1,8,2,1,False,zoh
mean,104.375,26.09375,258.0,14.75,3.6875,f4c0e20e66b2.yaml,ac827ae4b94b,1,8,2,1,False,euler
max,104.375,26.09375,258.0,14.75,3.6875,f4c0e20e66b2.yaml,ac827ae4b94b,1,8,2,1,False,euler
concat_mean_last,104.375,26.09375,258.0,15.0,3.75,f4c0e20e66b2.yaml,ac827ae4b94b,1,8,2,1,False,euler
mean,116.0,29.0,430.0,23.578125,5.89453125,bcf3e2800b54.yaml,17c75659257f,1,8,1,2,True,zoh
max,116.0,29.0,430.0,23.578125,5.89453125,bcf3e2800b54.yaml,17c75659257f,1,8,1,2,True,zoh
concat_mean_last,116.0,29.0,430.0,23.828125,5.95703125,bcf3e2800b54.yaml,17c75659257f,1,8,1,2,True,zoh
mean,116.0,29.0,430.0,23.578125,5.89453125,49cc1bf5d8c4.yaml,7660b0f094a1,1,8,1,2,True,euler
max,116.0,29.0,430.0,23.578125,5.89453125,49cc1bf5d8c4.yaml,7660b0f094a1,1,8,1,2,True,euler
concat_mean_last,116.0,29.0,430.0,23.828125,5.95703125,49cc1bf5d8c4.yaml,7660b0f094a1,1,8,1,2,True,euler
mean,104.0625,26.015625,430.0,23.5,5.875,1e3c7295dbd7.yaml,ab254bc63c41,1,8,1,2,False,zoh
max,104.0625,26.015625,430.0,23.5,5.875,1e3c7295dbd7.yaml,ab254bc63c41,1,8,1,2,False,zoh
concat_mean_last,104.0625,26.015625,430.0,23.75,5.9375,1e3c7295dbd7.yaml,ab254bc63c41,1,8,1,2,False,zoh
mean,104.0625,26.015625,430.0,23.5,5.875,1631f682bea0.yaml,2429d5856f8e,1,8,1,2,False,euler
max,104.0625,26.015625,430.0,23.5,5.875,1631f682bea0.yaml,2429d5856f8e,1,8,1,2,False,euler
concat_mean_last,104.0625,26.015625,430.0,23.75,5.9375,1631f682bea0.yaml,2429d5856f8e,1,8,1,2,False,euler
mean,58.25,14.5625,258.0,12.078125,3.01953125,51374aa4c5f8.yaml,05f0f3d0db06,1,8,1,1,True,zoh
max,58.25,14.5625,258.0,12.078125,3.01953125,51374aa4c5f8.yaml,05f0f3d0db06,1,8,1,1,True,zoh
concat_mean_last,58.25,14.5625,258.0,12.328125,3.08203125,51374aa4c5f8.yaml,05f0f3d0db06,1,8,1,1,True,zoh
mean,58.25,14.5625,258.0,12.078125,3.01953125,c8b06986e2fc.yaml,2173b8bdf0f9,1,8,1,1,True,euler
max,58.25,14.5625,258.0,12.078125,3.01953125,c8b06986e2fc.yaml,2173b8bdf0f9,1,8,1,1,True,euler
concat_mean_last,58.25,14.5625,258.0,12.328125,3.08203125,c8b06986e2fc.yaml,2173b8bdf0f9,1,8,1,1,True,euler
mean,52.3125,13.078125,258.0,12.0,3.0,b8d158135893.yaml,fcfc484ffa45,1,8,1,1,False,zoh
