config_name,model_hash,held_out_case,d_state,n_layers,expand,selective,discretization,status,train_skill,val_skill,best_val_mse,epochs_run,elapsed_s
bd0c0b487924.yaml,53bb32154053,1,16,4,1,True,zoh,ok,0.5315300068681676,0.5288998608056152,0.0328894466734849,43.0,3697.7
acb5f6b4022f.yaml,4da754070cf6,1,16,4,1,True,euler,ok,0.5385374009942472,0.5346588757801229,0.0324873860495594,57.0,4944.0
2de62f14efc4.yaml,be9143693d04,1,16,4,1,False,zoh,ok,0.5385600757758398,0.5344474660683416,0.0325021454348013,52.0,4630.3
70b533d14566.yaml,8d40eaa814c7,1,16,4,1,False,euler,ok,0.5400988315601157,0.5370029755326124,0.03232373476315,63.0,5596.7
0e68422ca28d.yaml,ce8ec3e934b4,1,16,2,2,True,zoh,ok,0.5419378064817781,0.5410561301081251,0.0320407673000143,64.0,2829.2
f19d5ca15add.yaml,03dbd2d1bc74,1,16,2,2,True,euler,ok,0.5427099990277764,0.5391835511490641,0.0321714997721406,64.0,2799.1
3b440664aeb5.yaml,a15fdab255cf,1,16,2,2,False,zoh,ok,0.5323934244051558,0.5300717926739051,0.032807629268903,67.0,3037.8
83ce3829615e.yaml,e849f675acc5,1,16,2,2,False,euler,ok,0.5259619159451732,0.5227378794501661,0.0333196400449826,65.0,2887.5
522ea9b11b24.yaml,1182323d482b,1,16,2,1,True,zoh,ok,0.5306596615343324,0.5316388531426262,0.0326982263045815,70.0,3096.8
f4cd557b7e3b.yaml,16662b29beb3,1,16,2,1,True,euler,ok,0.5253558439283055,0.5271747271422123,0.0330098853804744,63.0,2734.1
1df2b3ea9ccc.yaml,cef3e32de1b4,1,16,2,1,False,zoh,ok,0.5233160067201325,0.5205629907909793,0.0334714780060144,57.0,2538.0
f2578cb06991.yaml,238a49a973a3,1,16,2,1,False,euler,ok,0.518539577854664,0.5147995561620257,0.0338738471842729,60.0,2690.5
af9fc8c57bb6.yaml,7ba54936f952,1,16,1,2,True,zoh,ok,0.5043431158968686,0.5019574584893987,0.0347704070691878,57.0,1328.5
803a3eeb60b9.yaml,06c8e405530e,1,16,1,2,True,euler,ok,0.4965136636426738,0.495342133670184,0.0352322502205005,48.0,1092.9
0a649dc836b0.yaml,041df1be021e,1,16,1,2,False,zoh,ok,0.4881146118391867,0.4844719325036858,0.0359911438650809,59.0,1315.3
5b2a781d294a.yaml,a7ad8fa4af9f,1,16,1,2,False,euler,ok,0.4856648475089636,0.484229819174379,0.0360080467966886,59.0,1312.3
2dd0effd4eaa.yaml,0e00bfb6f56f,1,16,1,1,True,zoh,ok,0.4999465433572562,0.4984159884581899,0.0350176517206888,80.0,1797.4
6bdb1f777147.yaml,cf305a75c126,1,16,1,1,True,euler,ok,0.5006379869910691,0.499804305869329,0.0349207275475447,80.0,1773.6
2e2427afcb6d.yaml,05c01bd0dcff,1,16,1,1,False,zoh,ok,0.4324747492643059,0.4230686707293364,0.0402779592057833,57.0,1278.2
c08b62a11771.yaml,a4cab7f2fe52,1,16,1,1,False,euler,ok,0.4225552350355049,0.4194964878451971,0.0405273480484118,58.0,1275.6
882f1bbbb7cd.yaml,53d656a091fd,1,8,4,2,True,zoh,ok,0.5475553443297886,0.5422512459218298,0.0319573313284378,46.0,3796.9
b7fa91c2de83.yaml,8c7571539ddc,1,8,4,2,True,euler,ok,0.54443272865371,0.5370151272734879,0.0323228863999247,44.0,3799.7
489f94bd9fcd.yaml,a44c4b500d74,1,8,4,2,False,zoh,ok,0.5425623247130976,0.5371606567356535,0.0323127263870376,51.0,4567.6
c76270425c9e.yaml,319c77ff2fe8,1,8,4,2,False,euler,ok,0.5490502921480545,0.5442949394938121,0.0318146526383665,70.0,6215.1
b257164b50d8.yaml,adaafd0734ff,1,8,4,1,True,zoh,ok,0.5381163396800811,0.538287568056111,0.0322340520528646,56.0,4867.4
a50245a10669.yaml,0f5602c303a5,1,8,4,1,True,euler,ok,0.5400840481388159,0.5366511907408997,0.0323482943125642,56.0,4808.8
61a995157d85.yaml,50e3ef07f16f,1,8,4,1,False,zoh,ok,0.4550463586180937,0.4591236473148343,0.0377608123593605,27.0,2429.5
e0902212d370.yaml,dfe6f2bb093c,1,8,4,1,False,euler,ok,0.5388691044498393,0.5351292308601892,0.0324545486185413,68.0,6117.0
3ec7186fad7e.yaml,201c928c631f,1,8,2,2,True,zoh,ok,0.53809649794196,0.5357277436053194,0.0324127639715488,56.0,2459.9
b39731b66741.yaml,086acf0275b8,1,8,2,2,True,euler,ok,0.5373654918642379,0.5342620222112398,0.0325150920364719,56.0,2452.9
e622e3993a72.yaml,04f342ed4dcb,1,8,2,2,False,zoh,ok,0.5233339236789722,0.5184020127042726,0.0336223448125215,53.0,2356.6
352f70960ed3.yaml,b77482e85dc3,1,8,2,2,False,euler,ok,0.5309132774848413,0.531161695673583,0.0327315386384725,75.0,3366.9
58fd79f02b2d.yaml,08bf71867940,1,8,2,1,True,zoh,ok,0.5236167882405152,0.5218806101494788,0.0333794895559549,58.0,2512.3
b4778c6ea130.yaml,15fba0d893ec,1,8,2,1,True,euler,ok,0.5296473186674282,0.5284751347839657,0.0329190985514567,70.0,3023.5
27a2b2159d54.yaml,d19d06b1cbfa,1,8,2,1,False,zoh,ok,0.4422442183532636,0.462353777471985,0.0375353036305079,36.0,1608.1
f4c0e20e66b2.yaml,ac827ae4b94b,1,8,2,1,False,euler,ok,0.5268144598747453,0.5256356602126809,0.0331173340001931,72.0,3238.3
bcf3e2800b54.yaml,17c75659257f,1,8,1,2,True,zoh,ok,0.506565171456177,0.504738967553288,0.0345762184319587,56.0,1273.9
49cc1bf5d8c4.yaml,7660b0f094a1,1,8,1,2,True,euler,ok,0.5076610018526503,0.5030623721009263,0.0346932684859404,62.0,1385.0
1e3c7295dbd7.yaml,ab254bc63c41,1,8,1,2,False,zoh,ok,0.4909309267639821,0.4887356030089917,0.0356934794153158,59.0,1304.4
1631f682bea0.yaml,2429d5856f8e,1,8,1,2,False,euler,ok,0.4452635639735909,0.4414026964854611,0.0389979851360504,56.0,1262.5
51374aa4c5f8.yaml,05f0f3d0db06,1,8,1,1,True,zoh,ok,0.4942526304551699,0.4928334446315953,0.0354073921648355,84.0,1833.5
c8b06986e2fc.yaml,2173b8bdf0f9,1,8,1,1,True,euler,ok,0.4847811481874187,0.4836374500259912,0.0360494025338154,66.0,1470.0
b8d158135893.yaml,fcfc484ffa45,1,8,1,1,False,zoh,ok,0.4297447236110856,0.4328220671870881,0.0395970343110653,57.0,1320.3
6ea798f3a406.yaml,b4ec1d58679c,1,8,1,1,False,euler,ok,0.4728142843987297,0.4698463323809017,0.0370122174230905,58.0,1355.7
